,dealer_name,tel,fax,mail,web,types,address,province,postcode
464,โสภณอิฐบล็อค,042-372-280,-,-,-,,111 หมู่ที่ 5 ตำบลสุวรรณคูหา  อ.สุวรรณคูหา  จ.หนองบัวลำภู    39270 ,หนองบัวลำภู,39270
465,บจก. ซีอาร์ซี ไทวัสดุ (สาขากาญจนบุรี),-,-,-,-,,111 หมู่ที่ 9 ตำบลปากแพรก  อ.เมืองกาญจนบุรี  จ.กาญจนบุรี    71000 ,กาญจนบุรี,71000
466,บริษัท เต็มสมบูรณ์ จำกัด,034-458458,-,-,-,,111/1 หมู่ที่ 1 ถนนพระราม 2 ตำบลบางน้ำจืด อ.เมืองสมุทรสาคร  จ.สมุทรสาคร    74000 ,สมุทรสาคร,74000
467,บริษัท สหะเจริญโลหะพลาสติกภัณฑ์ จำกัด,3373595-8,-,-,-,,111/1 หมู่ที่ 12 ถนนกิ่งแก้ว ตำบลบางพลีใหญ่  อ.บางพลี  จ.สมุทรปราการ    10540 ,สมุทรปราการ,10540
468,บริษัท ฟอร์เวิร์ด อินโฟร์ จำกัด,25259066,25259066,-,-,,111/183 หมู่ที่ 1 หมู่บ้านมณีรินทร์ พาร์ค ซอยท่าอิฐ ถนนรัตนาธิเบศร์ ตำบลไทรม้า  อ.เมืองนนทบุรี  จ.นนทบุรี    11000 ,นนทบุรี,11000
469,บจก. ซีอาร์ซี ไทวัสดุ (สาขาหาดใหญ่),-,-,-,-,,1119 หมู่ที่ 1 ถนนเลี่ยงเมือง(สายเอเชีย) ตำบลควนล้ง อ.หาดใหญ่  จ.สงขลา    90110 ,สงขลา,90110
470,บริษัท เจ.เอ็น.ที.อินดัสเตรียล จำกัด,02-3850330,02-3850737,-,-,,1119 หมู่ที่ 6 ซอยเพชรวิฑูรย์ ถนนเทพารักษ์ ตำบลเทพารักษ์  อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10270 ,สมุทรปราการ,10270
471,บริษัท โปรเฟสชั่นแนล เซลล์ แอนด์ เซอร์วิส จำกัด,464-1633,4641633,-,-,,112/16 หมู่ที่ 6 ซอยสุขสวัสดิ์ 76 ตำบลบางจาก  อ.พระประแดง  จ.สมุทรปราการ    10130 ,สมุทรปราการ,10130
472,บริษัท รีเอ็นเทค จำกัด,02-8182721,02-8182725,-,-,,112/29 หมู่ที่ 6 ซอยสุขสวัสดิ์ 76 ถนนสุขสวัสดิ์ ตำบลบางจาก อ.พระประแดง  จ.สมุทรปราการ    10130 ,สมุทรปราการ,10130
473,ร้าน สถาพร (เค่งฮั่วเฮง),-,-,-,-,,112/33 หมู่ที่ 4 ตำบลผักไห่  อ.ผักไห่  จ.พระนครศรีอยุธยา    13120 ,พระนครศรีอยุธยา,13120
474,หจก. ปึงเกียงเส็งทรัพย์รุ่งเรืองค้าวัสดุก่อสร้าง (1992),036-471-363,036-471769,-,-,,113/5 ถนนตลาดใหม่ ตำบลบ้านหมี่ อ.บ้านหมี่  จ.ลพบุรี    15110 ,ลพบุรี,15110
475,ร้าน ศรีภิญโญ,02-737-8525,-,-,-,,113-113/1 ถนนร่มเกล้า แขวงคลองสามประเวศ เขตลาดกระบัง  จ.กรุงเทพมหานคร    10520 ,กรุงเทพมหานคร,10520
476,บริษัท อุดมโชคพัฒนา จำกัด,323-3804/ 380...,02-7091988-9,-,-,,114 หมู่ที่ 2 ถนนสุขุมวิท ตำบลท้ายบ้าน   อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10280 ,สมุทรปราการ,10280
477,หจก. เอ เค โฮม ไอเดีย,035-622-999,035-622-009,-,-,,114/1 หมู่ที่ 4 ถนนโพธิ์พระยา-ท่าเรือ ตำบลไผ่จำศิล อ.วิเศษชัยชาญ  จ.อ่างทอง    14110 ,อ่างทอง,14110
478,บริษัท เพาเวอร์ พี อินเตอร์กรุ๊ป จำกัด,0-23914607,0-23914608,-,-,,1149 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา  จ.กรุงเทพมหานคร    10110 ,กรุงเทพมหานคร,10110
479,บริษัท อินซาฟ เอสเตท จำกัด,0-23657999,0-23818923-4,-,-,,115 ซอยสุขุมวิท 55 (ทองหล่อ) ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา  จ.กรุงเทพมหานคร    10110 ,กรุงเทพมหานคร,10110
480,บริษัท แอ็ทเทน คอนสตรัคชั่น จำกัด,0-2961-8696,0-2967-8371,-,-,,115/775 หมู่ที่ 10 ตำบลบางคูวัด  อ.เมืองปทุมธานี  จ.ปทุมธานี    12000 ,ปทุมธานี,12000
481,บริษัท ไทยเคมีภัณฑ์ จำกัด,0-28155514-5,0-28155513,-,-,,116 หมู่ที่ 11 ถนนสุขสวัสดิ์ ตำบลในคลองบางปลากด  อ.พระสมุทรเจดีย์  จ.สมุทรปราการ    10290 ,สมุทรปราการ,10290
482,เจริญดีการไฟฟ้า,077-367069,-,-,-,,116/3 หมู่ที่ 1 ถนนชัยบุรี-เหนือคลอง ตำบลชัยบุรี  อ.ชัยบุรี  จ.สุราษฎร์ธานี    84350 ,สุราษฎร์ธานี,84350
483,บจก. จุงทะเลทอง เคหะภัณฑ์,038-337-608,-,-,-,,116/95-96 หมู่ที่ 3 ตำบลบ่อวิน  อ.ศรีราชา  จ.ชลบุรี    20230 ,ชลบุรี,20230
484,บมจ. โฮมโปรดักส์ เซ็นเตอร์ -สาขาเลย,-,-,-,-,,117 หมู่ที่ 9 ตำบลนาอาน  อ.เมืองเลย  จ.เลย    42000 ,เลย,42000
485,แสงอุทัยก่อสร้างแก้มอ้น,032-739-452,-,-,-,,117/2 หมู่ที่ 3 ตำบลแก้มอ้น  อ.จอมบึง  จ.ราชบุรี    70150 ,ราชบุรี,70150
486,อรัญเพนท์,037-231-694,037-231-694,-,-,,118/1 หมู่ที่ 2 ซอย1 ถนนธนะวิถี ตำบลบ้านใหม่หนองไทร อ.อรัญประเทศ  จ.สระแก้ว    27120 ,สระแก้ว,27120
487,พิทักษ์วัสดุ,053-181737,053-181737,-,-,,119 หมู่ที่ 10 ตำบลบ้านแซว  อ.เชียงแสน  จ.เชียงราย    57150 ,เชียงราย,57150
488,ร้าน เลาขวัญคอนกรีต,081-943-3147,-,-,-,,119 หมู่ที่ 5 ตำบลเลาขวัญ  อ.เลาขวัญ  จ.กาญจนบุรี    71210 ,กาญจนบุรี,71210
489,บริษัท ชินวา โคเงียว (ประเทศไทย) จำกัด,02-237-4240,02-237-4476,-,-,,119 ห้องหมายเลขที่ เอ2-เอ4 ชั้น 5 อาคารวอร์เนอร์ ทาวเวอร์ ถนนมเหสักข์ แขวงสุริยวงศ์ เขตบางรัก  จ.กรุงเทพมหานคร    10500 ,กรุงเทพมหานคร,10500
490,สุขสวัสดิ์ (1999),(02)  4626280...,-,-,-,,119/21 หมู่ที่ 18  ถนนสุขสวัสดิ์ ตำบลบางพึ่ง  อ.พระประแดง  จ.สมุทรปราการ    10130 ,สมุทรปราการ,10130
491,หจก. อ.กิมเจริญ,081-9401338,-,-,-,,119/3 หมู่ที่ 5 ตำบลทรายขาว  อ.สอยดาว  จ.จันทบุรี    22180 ,จันทบุรี,22180
492,บริษัท เอกภาพโฮมมาร์ท จำกัด,037-452260,037-452260,-,-,,119/5 ถนนปราจีนตคาม ตำบลหน้าเมือง  อ.เมืองปราจีนบุรี  จ.ปราจีนบุรี    25000 ,ปราจีนบุรี,25000
493,บริษัท แอสเสท บิลท์ เอเชีย จำกัด,0-21596360-2,0-21596359,-,-,,12/14 หมู่ที่ 10 ตำบลคลองข่อย  อ.ปากเกร็ด  จ.นนทบุรี    11120 ,นนทบุรี,11120
494,หจก. สตูลค้าสี,074-721546/73...,074-722243,-,-,,12/3 ถนนสตูลธานี ตำบลพิมาน   อ.เมืองสตูล  จ.สตูล    91000 ,สตูล,91000
495,บริษัท เอสพี พรประเสริฐคอนสตรัคชั่น จำกัด,029577860-1,29577862,-,-,,12/312 หมู่ที่ 4 ตำบลบึงยี่โถ  อ.ธัญบุรี  จ.ปทุมธานี    12130 ,ปทุมธานี,12130
496,บริษัท โมบิลิตี้ โค้ทติ้งส จำกัด,38777495,38777536,-,-,,12/9 หมู่ที่ 3 ตำบลสุรศักดิ์  อ.ศรีราชา  จ.ชลบุรี    20110 ,ชลบุรี,20110
497,อภิชญาพานิช,02-9707546,-,-,-,,120/28 หมู่ที่ 4 ซอยรามอินทรา 19 ถนนรามอินทรา แขวงอนุสาวรีย์ เขตบางเขน  จ.กรุงเทพมหานคร    10220 ,กรุงเทพมหานคร,10220
498,ร้าน จำลองชัยก่อสร้าง,043-790059,043-791612,-,-,,122 หมู่ที่ 2 ตำบลลานสะแก  อ.พยัคฆภูมิพิสัย  จ.มหาสารคาม    44110 ,มหาสารคาม,44110
499,บริษัท ทีซีซี เทคนิกา จำกัด,0-29090054,0-29090055,-,-,,122 หมู่ที่ 20 ตำบลคลองหนึ่ง  อ.คลองหลวง  จ.ปทุมธานี    12120 ,ปทุมธานี,12120
500,บริษัท โกร โยธา กรุ๊ป จำกัด,02-617-6886,02-617-6899,-,-,,123 อาคารซันทาวเวอร์ส อาคารเอ ชั้น 17 ถนนวิภาวดีรังสิต แขวงจอมพล  เขตจตุจักร  จ.กรุงเทพมหานคร    10900 ,กรุงเทพมหานคร,10900
501,หจก. ธัญวัฒน์ค้าวัสดุ,032-332595,-,-,-,,124 หมู่ที่ 9 ตำบลเจดีย์หัก  อ.เมืองราชบุรี  จ.ราชบุรี    70000 ,ราชบุรี,70000
502,บริษัท ยามาโมโต้ เฟาน์ดรี (ประเทศไทย)  จำกัด,035-364382-3,035-716542,-,-,,124/1 หมู่ที่ 4 นิคมอุตสาหกรรมสหรัตนนคร ถนนชลประทาน  ตำบลบางพระครู  อ.นครหลวง  จ.พระนครศรีอยุธยา    13260 ,พระนครศรีอยุธยา,13260
503,หจก. พี.เค.ที. พร็อพเพอร์ตี้,851733191,34764662,-,-,,125/439 หมู่ที่ 5 ถนนรามอินทรา แขวงคันนายาว เขตคันนายาว  จ.กรุงเทพมหานคร    10230 ,กรุงเทพมหานคร,10230
504,บริษัท กานต์ อาร์ท แอนด์เดค จำกัด,24961123,24961123,-,-,,125/5 หมู่ที่ที่ 2 ถนนนครอินทร์-พระราม 5 ตำบลบางสีทอง อ.บางกรวย  จ.นนทบุรี    11130 ,นนทบุรี,11130
505,บริษัท แซมซั่น คอนแทรคเตอร์ จำกัด,027457140-4,27457145,-,-,,125/87 ถนนสุขุมวิท ตำบลมาบตาพุด  อ.เมืองระยอง  จ.ระยอง    21150 ,ระยอง,21150
506,บริษัท กุลธรเคอร์บี้ จำกัด (มหาชน),326-9831-6,3260837/7394892,-,-,,126 ซอยฉลองกรุง 31 ถนนฉลองกรุง แขวงลำปลาทิว เขตลาดกระบัง  จ.กรุงเทพมหานคร    10520 ,กรุงเทพมหานคร,10520
507,บริษัท บี.เอส.เพ้นท์ คอนสตรัคชั่น จำกัด,038-101029,038-101009,-,-,,126/173 หมู่ที่ 7 ตำบลสุรศักดิ์  อ.ศรีราชา  จ.ชลบุรี    20110 ,ชลบุรี,20110
508,นาย แสวง จะรีรัมย์,-,-,-,-,,127 หมู่ที่ 14 ตำบลบ้านยาง  อ.เมืองบุรีรัมย์  จ.บุรีรัมย์    31000 ,บุรีรัมย์,31000
509,ป.เจริญชัยเคหภัณฑ์,02-4634752,02-8181375,-,-,,127/23-24 หมู่ที่ 14 ถนนสุขสวัสดิ์ ตำบลบางพึ่ง อ.พระประแดง  จ.สมุทรปราการ    10130 ,สมุทรปราการ,10130
510,บจก. บางแสนคัลเลอร์ดีไซน์,038-746361,038-746366,-,-,,127/657 หมู่ที่ 3 ตำบลเสม็ด  อ.เมืองชลบุรี  จ.ชลบุรี    20000 ,ชลบุรี,20000
511,หจก. ถาวรวัสดุเซ็นเตอร์,(043) 273088,-,-,-,,127-129 หมู่ที่ 1 ถนนราชนิกูล ตำบลในเมือง  อ.บ้านไผ่  จ.ขอนแก่น    40110 ,ขอนแก่น,40110
512,หจก. ช.ปิยะคอนสตรัคชั่น,02-7023163,02-3953017,-,-,,1279/125 หมู่ที่ 10 ตำบลท้ายบ้าน   อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10280 ,สมุทรปราการ,10280
513,ร้าน เชียงราย ชัยกร,053-175-763,053-175-621,-,-,,128 หมู่ที่ 16 ตำบลบ้านดู่  อ.เมืองเชียงราย  จ.เชียงราย    57100 ,เชียงราย,57100
514,หจก. ชวนิชคอนกรีต,056-340555,-,-,-,,129 หมู่ที่ 14 ตำบลวัดไทร  อ.เมืองนครสวรรค์  จ.นครสวรรค์    60000 ,นครสวรรค์,60000
515,ร้าน ส.เจริญการค้า,042-382-367,-,-,-,,13 หมู่ที่ 9 ถนนสมศิริ ตำบลศรีธาตุ อ.ศรีธาตุ  จ.อุดรธานี    41230 ,อุดรธานี,41230
516,บัวลอยวัสดุก่อสร้าง,081-852-5041,-,-,-,,13/3 หมู่ที่ 3 ตำบลบัวลอย  อ.หนองแค  จ.สระบุรี 18230 ,สระบุรี,
517,หจก. วี.อาร์.ซี. คอนสตรัคชั่น,02-5318859,02-5318859,-,-,,130 ซอยรังสิต-นครนายก 10 ถนนรังสิต-นครนายก ตำบลประชาธิปัตย์ อ.ธัญบุรี  จ.ปทุมธานี    12130 ,ปทุมธานี,12130
518,หจก. วิริยะระนอง,077-811281,077-822225,-,-,,130/114-115 ถนนท่าเมือง ตำบลเขานิเวศน์  อ.เมืองระนอง  จ.ระนอง    85000 ,ระนอง,85000
519,หจก. พูลทอง เพ้นท์,038-101182,038-101009,-,-,,130/28 หมู่ที่ 2 ตำบลสุรศักดิ์  อ.ศรีราชา  จ.ชลบุรี    20110 ,ชลบุรี,20110
520,ร้าน บีพี.ฮาร์ดแวร์,089-7049240,0-24725501,-,-,,130/6 หมู่ที่ 3 ตำบลหัวรอ  อ.เมืองพิษณุโลก  จ.พิษณุโลก    65000 ,พิษณุโลก,65000
521,บริษัท อินทิเกรท ซีวิล กรุ๊ป จำกัด,0-29100976-8,0-2585-9286,-,-,,1300/35 ถนนประชาชื่น  เขตบางซื่อ  จ.กรุงเทพมหานคร    10800 ,กรุงเทพมหานคร,10800
522,บจก. ศรีปัญญา โฮมมาร์ท,086-6589544,053-774-635,-,-,,131 หมู่ที่ 13 ตำบลสันทราย  อ.เมืองเชียงราย  จ.เชียงราย    57000 ,เชียงราย,57000
523,เรือนชมสี,082-250-4588,077-512-200,-,-,,132/1 หมู่ที่ 10 ตำบลนาทุ่ง  อ.เมืองชุมพร  จ.ชุมพร    86000 ,ชุมพร,86000
524,บริษัท พิศาลโฮม จำกัด,0-24168002-4-280,0-24168431,-,-,,133 ถนนพระราม 2 แขวงแสมดำ  เขตบางขุนเทียน  จ.กรุงเทพมหานคร    10150 ,กรุงเทพมหานคร,10150
525,หจก. พิศาลวีเอส,-,-,-,-,,133 ถนนพระราม 2 แขวงแสมดำ  เขตบางขุนเทียน  จ.กรุงเทพมหานคร    10150 ,กรุงเทพมหานคร,10150
526,บมจ. โฮมโปรดักส์ เซ็นเตอร์ -สาขาสุพรรณบุรี,-,-,-,-,,133 ถนนมาลัยแมน ตำบลรั้วใหญ่  อ.เมืองสุพรรณบุรี  จ.สุพรรณบุรี    72000 ,สุพรรณบุรี,72000
527,บริษัท อัลตัม พรีซิชั่น จำกัด,035-729100-105,035-729108,-,-,,133 หมู่ที่ 1 นิคมอุตสาหกรรมไฮเทค ถนนสายเอเซีย-นครสวรรค์ ตำบลบ้านเลน อ.บางปะอิน  จ.พระนครศรีอยุธยา    13160 ,พระนครศรีอยุธยา,13160
528,หจก. วี.เอส. อินดัสเตรียล ซัพพลาย,037-290148,037-290149,-,-,,133/12-13 หมู่ที่ 5 ถนนสุวรรณศร ตำบลนนทรี อ.กบินทร์บุรี  จ.ปราจีนบุรี    25110 ,ปราจีนบุรี,25110
529,บริษัท เจริญสิน พร็อพเพอร์ตี้ จำกัด,0-2709-1100,0-2709-1075,-,-,,133/23-28 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10280 ,สมุทรปราการ,10280
530,บริษัท เจริญสินธานี จำกัด,0-2709-1100,0-2709-1075,-,-,,133/23-28 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10280 ,สมุทรปราการ,10280
531,บริษัท เจริญสิน คอนโดทาวน์ จำกัด,027091100-1,27091075,-,-,,133/23-28 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10280 ,สมุทรปราการ,10280
532,บริษัท ซินโกะ แอร์  คอนดิชันนิ่ง (ประเทศไทย) จำกัด,035-314009,035-314013,-,-,,134/1 หมู่ที่ 1 นิคมอุตสาหกรรมไฮ-เทค ตำบลบ้านโพ  อ.บางปะอิน  จ.พระนครศรีอยุธยา    13160 ,พระนครศรีอยุธยา,13160
533,หจก. พิศาลสิบหก,24168002,-,-,-,,135 ถนนพระราม 2 แขวงแสมดำ  เขตบางขุนเทียน  จ.กรุงเทพมหานคร    10150 ,กรุงเทพมหานคร,10150
534,หจก. ทุ่งใหญ่ผลิตภัณฑ์,074-583-480,074-583-480,-,-,,135 หมู่ที่ 2 ถนนกาญจนวนิช ตำบลทุ่งใหญ่ อ.หาดใหญ่  จ.สงขลา    90110 ,สงขลา,90110
535,ศรียุทธไกร (บางเสาธง),02-330-3788-9,02-330-3790,-,-,,135/1 หมู่ที่ 2 ถนนเทพารักษ์ ตำบลบางเสาธง อ.บางเสาธง  จ.สมุทรปราการ    10540 ,สมุทรปราการ,10540
536,บจก. เอส.ซี.เจ.พร็อพเพอร์ตี้,089-6386857,-,-,-,,135/32 หมู่ที่ 10 ตำบลวัดไทร  อ.เมืองนครสวรรค์  จ.นครสวรรค์    60000 ,นครสวรรค์,60000
537,บางกอกซีแพค,053-955-782,053-955-959,-,-,,138 หมู่ที่ 7 ตำบลป่าสัก  อ.เชียงแสน  จ.เชียงราย    57150 ,เชียงราย,57150
538,บริษัท ไอไอดับเบิลยูไทย จำกัด,0-27138480,0-27138481,-,-,,139 อาคารเดอะ โอภัส ทองหล่อ ชั้นที่ 5 ห้องเลขที่ 505 ซอยสุขุมวิท 63 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา  จ.กรุงเทพมหานคร    10110 ,กรุงเทพมหานคร,10110
539,บริษัท วิษณุประสิทธิ์ทรัพย์ จำกัด,02-3932202,-,-,-,,139/109 หมู่ที่ 9 แขวงบางไผ่  เขตบางแค  จ.กรุงเทพมหานคร    10160 ,กรุงเทพมหานคร,10160
540,บริษัท นิวอีเล็คตริคัลเทคโนโลยี จำกัด,29820987,25737985,-,-,,139/11 หมู่ที่ 2 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่  จ.กรุงเทพมหานคร    10210 ,กรุงเทพมหานคร,10210
541,บริษัท นิวเมืองทอง เฟอร์นิเทค จำกัด,02-312-1712-5,02-312-1711,-,-,,139/2 หมู่ที่ 10 ตำบลบางปลา  อ.บางพลี  จ.สมุทรปราการ    10540 ,สมุทรปราการ,10540
542,บริษัท เอ็น.แท็ค คอนสตรัคชั่น จำกัด,02-985-3487,02-985-3487,-,-,,14 ถนนเทศบาลนิมิตรเหนือ แขวงลาดยาว  เขตจตุจักร  จ.กรุงเทพมหานคร    10900 ,กรุงเทพมหานคร,10900
543,บริษัท เดชากร เอ็นจิเนียริ่ง จำกัด,0-27361624,0-23683159,-,-,,14/19 ถนนกรุงเทพกรีฑา แขวงสะพานสูง เขตสะพานสูง  จ.กรุงเทพมหานคร    10240 ,กรุงเทพมหานคร,10240
544,บจก. ซี แอนด์ ซี ออโต้แลนด์,02-805-6751-3,02-805-6751-3 # 116,-,-,,14/5 หมู่ที่ 10 ถนนกาญจนาภิเษก แขวงบางไผ่ เขตบางแค  จ.กรุงเทพมหานคร    10160 ,กรุงเทพมหานคร,10160
545,เอิร์ธคอนกรีต,043-381489,043-381489,-,-,,140 หมู่ที่ 11 ตำบลสวนหม่อน  อ.มัญจาคีรี  จ.ขอนแก่น    40160 ,ขอนแก่น,40160
546,หจก. ณัฐพงษ์มอเตอร์ (1989),042-100-299,042-360-272,-,-,,141 หมู่ที่ 2 ตำบลหนองบัว  อ.เมืองหนองบัวลำภู  จ.หนองบัวลำภู    39000 ,หนองบัวลำภู,39000
547,พี.อาร์.เพนท์,(054) 522169,(054) 523142626-492,-,-,,141/1 หมู่ที่ 7 ถนนยันตรกิจโกศล ตำบลป่าแมต  อ.เมืองแพร่  จ.แพร่    54000 ,แพร่,54000
548,ร้าน ธงไทย,038  551 - 539,-,-,-,,1415-1416   อ.พนมสารคาม  จ.ฉะเชิงเทรา    24120 ,ฉะเชิงเทรา,24120
549,หจก. พันธุ์รุ่งเรืองค้าเหล็ก,035-640855,035-620811,-,-,,142 หมู่ที่ 5 ตำบลบางพลับ  อ.โพธิ์ทอง  จ.อ่างทอง    14120 ,อ่างทอง,14120
550,บริษัท บ้านเทพรัตน์ เฮ้าส์ซิ่ง จำกัด,27080832,27080833,-,-,,143/3 หมู่ที่ 2 ตำบลบางเสาธง  อ.บางเสาธง  จ.สมุทรปราการ    10540 ,สมุทรปราการ,10540
551,บจก. ช.วิษณุการค้า (2548),-,-,-,-,,144 หมู่ที่ 1 ตำบลนาบินหลา  อ.เมืองตรัง  จ.ตรัง    92000 ,ตรัง,92000
552,บริษัท เทบอินดัสเตรียล จำกัด,02-7212334-5,02-3217863,-,-,,145 ซอยอ่อนนุช 66(โมลาวรรณ) ถนนสุขุมวิท 77 แขวงสวนหลวง เขตสวนหลวง  จ.กรุงเทพมหานคร    10250 ,กรุงเทพมหานคร,10250
553,ร้าน เลิศศิลป์พานิชย์,(032) 688348,-,-,-,,145 ถนนเพชรเกษม ตำบลไร่ใหม่   อ.กุยบุรี  จ.ประจวบคีรีขันธ์    77180 ,ประจวบคีรีขันธ์,77180
554,เจ.เอช.เอช เทรดดิ้ง,077-811-362,077-822-732,-,-,,145/62 หมู่ที่ 4 ถนนเพชรเกษม ตำบลบางนอน อ.เมืองระนอง  จ.ระนอง    85000 ,ระนอง,85000
555,หจก. เรืองแสงไทย,(044) 611041,-,-,-,,146/7-8 ถนนสุนทรเทพ   อ.เมืองบุรีรัมย์  จ.บุรีรัมย์    31000 ,บุรีรัมย์,31000
556,บริษัท คอนเซ็ปท์ โฮม จำกัด,02-884-5501-3...,02-884-5501-3-125,-,-,,147/227 ถนนบรมราชชนนี แขวงอรุณอมรินทร์  เขตบางกอกน้อย  จ.กรุงเทพมหานคร    10700 ,กรุงเทพมหานคร,10700
557,บมจ. สยามโกลบอลเฮ้าส์ สาขานครพนม,-,-,-,-,,147/3 ถนนประชาร่วมมิตร ตำบลหนองญาติ  อ.เมืองนครพนม  จ.นครพนม    48000 ,นครพนม,48000
558,ส.ไทยเจริญ,02-385-3442,02-385-3442,-,-,,147/9 หมู่ที่ 1 ถนนเทพารักษ์ ตำบลเทพารักษ์  อ.เมืองสมุทรปราการ  จ.สมุทรปราการ    10270 ,สมุทรปราการ,10270
559,บจก. โฮมชัวร์ สาขาที่ 00003,054-772-524,054-772-524,-,-,,"148/4,148/5 หมู่ที่ 3 ตำบลปัว  อ.ปัว  จ.น่าน    55120 ",น่าน,55120
560,บจก. เชียงใหม่วีระกิจ (2008),053-295634-7,053-295638,-,-,,149 หมู่ที่ 10 ตำบลสันปูเลย  อ.ดอยสะเก็ด  จ.เชียงใหม่    50220 ,เชียงใหม่,50220
561,หจก. มิตรศิลปคอนกรีต,056-704-880/7...,056-704-881,-,-,,149 หมู่ที่ 2 ตำบลหนองไขว่  อ.หล่มสัก  จ.เพชรบูรณ์    67110 ,เพชรบูรณ์,67110
562,บมจ. โฮมโปรดักส์ เซ็นเตอร์ -สาขากาญจนบุรี,-,-,-,-,,15 หมู่ที่ 1 ตำบลท่าล้อ  อ.ท่าม่วง  จ.กาญจนบุรี    71000 ,กาญจนบุรี,71000
563,ร้าน เคหะภัณฑ์,056-709107/74...,-,-,-,,15 หมู่ที่ 5 ตำบลหล่มเก่า  อ.หล่มเก่า  จ.เพชรบูรณ์    67120 ,เพชรบูรณ์,67120
564,บริษัท บุญยงทัศนีย์ จำกัด,02-5695432,02-9970663,-,-,,15/191 หมู่ที่ 1 ตำบลบ้านฉาง  อ.เมืองปทุมธานี  จ.ปทุมธานี    12000 ,ปทุมธานี,12000
565,บริษัท คีย์บอกซ์ จำกัด,0-29814428-9,0-29814220,-,-,,15/28-15/29 หมู่ที่ 2 ซอยแจ้งวัฒนะ-ปากเกร็ด 32 ถนนแจ้งวัฒนะ ตำบลคลองเกลือ  อ.ปากเกร็ด  จ.นนทบุรี    11120 ,นนทบุรี,11120
566,บริษัท บัวทอง ค้าวัสดุก่อสร้าง จำกัด,02-5713337/ 5...,02-9276126,-,-,,15/7-8 หมู่ที่ 13 ตำบลบางบัวทอง  อ.บางบัวทอง  จ.นนทบุรี    11000 ,นนทบุรี,11000
567,กงจักร์วัสดุก่อสร้าง,044-514-915,-,-,-,,150 หมู่ที่ 7 ซอยบ้านท่าศิลา ตำบลเมืองแก อ.ท่าตูม  จ.สุรินทร์    32120 ,สุรินทร์,32120
568,หจก. ชัยยาภัณฑ์,077-431-210,-,-,-,,150/1 หมู่ที่ 3 ตำบลตลาดไชยา  อ.ไชยา  จ.สุราษฎร์ธานี    84110 ,สุราษฎร์ธานี,84110
569,บมจ. โฮมโปรดักส์ เซ็นเตอร์ -สาขาเพชรบูรณ์,-,-,-,-,,151 หมู่ที่ 1 ตำบลชอนไพร  อ.เมืองเพชรบูรณ์  จ.เพชรบูรณ์    67000 ,เพชรบูรณ์,67000
570,บจก. อรัญพัฒนาวัสดุก่อสร้าง,037-231769,37223388,-,-,,151 หมู่ที่ 6 ถนนธนะวิถี ตำบลบ้านใหม่หนองไทร  อ.อรัญประเทศ  จ.สระแก้ว    27120 ,สระแก้ว,27120
571,หจก. แสงสว่างเกษตร,043-743080,043-995730,-,-,,153 หมู่ที่ 13 ตำบลเกษตรวิสัย  อ.เกษตรวิสัย  จ.ร้อยเอ็ด    45150 ,ร้อยเอ็ด,45150
572,บจก. แม่สอด วาย.ที.ที.อิมปอร์ต เอ็กซ์ปอร์ต,055-534-954,055-536-303,-,-,,155 หมู่ที่ 1 ถนนแม่สอด-แม่ระมาด ตำบลแม่ปะ อ.แม่สอด  จ.ตาก    63110 ,ตาก,63110
573,บจก. เอสเจไอ อินเตอร์มาร์เก็ตติ้ง แอนด์ เซอร์วิส,038-042017,038-042017,-,-,,156/183 หมู่ที่ 4 หมู่บ้านอิสตินี่พา ตำบลบึง  อ.ศรีราชา  จ.ชลบุรี    20230 ,ชลบุรี,20230
574,บริษัท เรโปร เฮ้าส์ จำกัด,0-2611-0290,0-2611-0460,-,-,,156/20 ถนนเพชรบุรี แขวงถนนเพชรบุรี  เขตราชเทวี  จ.กรุงเทพมหานคร    10400 ,กรุงเทพมหานคร,10400
575,อุดมกิจ,035-551-521,-,-,-,,1564 หมู่ที่ 6 ตำบลอู่ทอง  อ.อู่ทอง  จ.สุพรรณบุรี    72160 ,สุพรรณบุรี,72160
576,บริษัท แม็คคาตริค จำกัด,02-9132237-8,02-9132239,-,-,,1564/19 ถนนประชาราษฎร์ 1 แขวงบางซื่อ  เขตบางซื่อ  จ.กรุงเทพมหานคร    10800 ,กรุงเทพมหานคร,10800
